NOME_ATIVO,DATA_NEGOCIACAO,ANO,MES,DIA,ANOMES,VALOR_ABERTURA,VALOR_MAIOR_NEGOCIACAO,VALOR_MENOR_NEGOCIACAO,VALOR_FECHAMENTO,VALOR_FECHAMENTO_AJUSTADO,VOLUME_NEGOCIADO,DATA_EXTRACAO
VALE3.SA,2020-12-10,2020,12,10,2020-12,83.6500015258789,85.22000122070312,83.19999694824219,85.0,62.62106323242188,41230700,2023-09-07 01:29:18.064408
VALE3.SA,2020-12-11,2020,12,11,2020-12,84.62000274658203,85.27999877929688,84.4000015258789,84.86000061035156,62.51792144775391,25136800,2023-09-07 01:29:18.064408
VALE3.SA,2020-12-14,2020,12,14,2020-12,85.19999694824219,85.22000122070312,82.94999694824219,83.55000305175781,61.55282974243164,20931700,2023-09-07 01:29:18.064408
VALE3.SA,2020-12-15,2020,12,15,2020-12,83.55000305175781,85.37999725341797,83.55000305175781,84.5,62.252708435058594,18762800,2023-09-07 01:29:18.064408
VALE3.SA,2020-12-16,2020,12,16,2020-12,84.9000015258789,86.2300033569336,84.36000061035156,86.22000122070312,63.51987457275391,23038300,2023-09-07 01:29:18.064408
VALE3.SA,2020-12-17,2020,12,17,2020-12,86.5,87.94999694824219,86.16999816894531,87.19999694824219,64.24185180664062,21367800,2023-09-07 01:29:18.064408
VALE3.SA,2020-12-18,2020,12,18,2020-12,87.62000274658203,88.37999725341797,87.43000030517578,87.80000305175781,64.68387603759766,23843100,2023-09-07 01:29:18.064408
VALE3.SA,2020-12-21,2020,12,21,2020-12,86.1500015258789,87.4000015258789,84.77999877929688,86.86000061035156,63.99135971069336,31877300,2023-09-07 01:29:18.064408
VALE3.SA,2020-12-22,2020,12,22,2020-12,86.86000061035156,86.98999786376953,85.43000030517578,86.94000244140625,64.05029296875,23157000,2023-09-07 01:29:18.064408
VALE3.SA,2020-12-23,2020,12,23,2020-12,86.52999877929688,87.52999877929688,86.4000015258789,87.36000061035156,64.35972595214844,17710200,2023-09-07 01:29:18.064408
VALE3.SA,2020-12-28,2020,12,28,2020-12,87.79000091552734,88.58000183105469,87.08000183105469,87.30999755859375,64.32288360595703,26001300,2023-09-07 01:29:18.064408
VALE3.SA,2020-12-29,2020,12,29,2020-12,87.97000122070312,88.19999694824219,86.51000213623047,87.06999969482422,64.14607238769531,19727500,2023-09-07 01:29:18.064408
VALE3.SA,2020-12-30,2020,12,30,2020-12,87.19000244140625,87.58999633789062,86.6500015258789,87.44999694824219,64.426025390625,30102700,2023-09-07 01:29:18.064408
